q,Correctness = how 0 and 1 true distribute,Acc = how model performed,F1,
1,0.73,0.74,0.67,
2,0.98,0.98,0.52,Imbalanced 
3,0.93,0.93,0.53,Imbalanced 
4,0.8,0.81,0.68,
5,0.55,0.63,0.63,Low acc model may not be proper
6,0.78,0.78,0.65,
7,0.74,0.73,0.63,
8,0.62,0.57,0.56,
9,0.74,0.74,0.63,
10,0.51,0.6,0.58,
11,0.64,0.63,0.61,
12,0.86,0.86,0.52,Imbalanced 
13,0.28,0.73,0.47,Imbalanced 
14,0.71,0.72,0.64,
15,0.48,0.62,0.59,
16,0.73,0.71,0.51,Imbalanced 
17,0.69,0.64,0.56,
18,0.95,0.95,0.5,Imbalanced 
