,session_id,correct,session,q
0,20090312431273200_q1,1,20090312431273200,1
23562,20090312431273200_q2,1,20090312431273200,2
47124,20090312431273200_q3,1,20090312431273200,3
70686,20090312431273200_q4,1,20090312431273200,4
94248,20090312431273200_q5,1,20090312431273200,5
117810,20090312431273200_q6,1,20090312431273200,6
141372,20090312431273200_q7,1,20090312431273200,7
164934,20090312431273200_q8,1,20090312431273200,8
188496,20090312431273200_q9,1,20090312431273200,9
212058,20090312431273200_q10,1,20090312431273200,10
235620,20090312431273200_q11,1,20090312431273200,11
259182,20090312431273200_q12,1,20090312431273200,12
282744,20090312431273200_q13,0,20090312431273200,13
306306,20090312431273200_q14,1,20090312431273200,14
329868,20090312431273200_q15,1,20090312431273200,15
353430,20090312431273200_q16,0,20090312431273200,16
376992,20090312431273200_q17,1,20090312431273200,17
400554,20090312431273200_q18,1,20090312431273200,18
